"Date","Value"
2013-01-09,231.444
2013-01-10,231.444
2013-01-11,231.444
2013-01-14,231.444
2013-01-15,231.444
2013-01-16,231.444
2013-01-17,231.444
2013-01-18,231.444
2013-01-22,231.444
2013-01-23,231.444
2013-01-24,231.444
2013-01-25,231.444
2013-01-28,231.444
2013-01-29,231.444
2013-01-30,231.444
2013-01-31,231.444
2013-02-01,232.803
2013-02-04,232.803
2013-02-05,232.803
2013-02-06,232.803
2013-02-07,232.803
2013-02-08,232.803
2013-02-11,232.803
2013-02-12,232.803
2013-02-13,232.803
2013-02-14,232.803
2013-02-15,232.803
2013-02-19,232.803
2013-02-20,232.803
2013-02-21,232.803
2013-02-22,232.803
2013-02-25,232.803
2013-02-26,232.803
2013-02-27,232.803
2013-02-28,232.803
2013-03-01,232.245
2013-03-04,232.245
2013-03-05,232.245
2013-03-06,232.245
2013-03-07,232.245
2013-03-08,232.245
2013-03-11,232.245
2013-03-12,232.245
2013-03-13,232.245
2013-03-14,232.245
2013-03-15,232.245
2013-03-18,232.245
2013-03-19,232.245
2013-03-20,232.245
2013-03-21,232.245
2013-03-22,232.245
2013-03-25,232.245
2013-03-26,232.245
2013-03-27,232.245
2013-03-28,232.245
2013-04-01,231.672
2013-04-02,231.672
2013-04-03,231.672
2013-04-04,231.672
2013-04-05,231.672
2013-04-08,231.672
2013-04-09,231.672
2013-04-10,231.672
2013-04-11,231.672
2013-04-12,231.672
2013-04-15,231.672
2013-04-16,231.672
2013-04-17,231.672
2013-04-18,231.672
2013-04-19,231.672
2013-04-22,231.672
2013-04-23,231.672
2013-04-24,231.672
2013-04-25,231.672
2013-04-26,231.672
2013-04-29,231.672
2013-04-30,231.672
2013-05-01,231.99
2013-05-02,231.99
2013-05-03,231.99
2013-05-06,231.99
2013-05-07,231.99
2013-05-08,231.99
2013-05-09,231.99
2013-05-10,231.99
2013-05-13,231.99
2013-05-14,231.99
2013-05-15,231.99
2013-05-16,231.99
2013-05-17,231.99
2013-05-20,231.99
2013-05-21,231.99
2013-05-22,231.99
2013-05-23,231.99
2013-05-24,231.99
2013-05-28,231.99
2013-05-29,231.99
2013-05-30,231.99
2013-05-31,231.99
2013-06-03,232.583
2013-06-04,232.583
2013-06-05,232.583
2013-06-06,232.583
2013-06-07,232.583
2013-06-10,232.583
2013-06-11,232.583
2013-06-12,232.583
2013-06-13,232.583
2013-06-14,232.583
2013-06-17,232.583
2013-06-18,232.583
2013-06-19,232.583
2013-06-20,232.583
2013-06-21,232.583
2013-06-24,232.583
2013-06-25,232.583
2013-06-26,232.583
2013-06-27,232.583
2013-06-28,232.583
2013-07-01,232.98
2013-07-02,232.98
2013-07-03,232.98
2013-07-05,232.98
2013-07-08,232.98
2013-07-09,232.98
2013-07-10,232.98
2013-07-11,232.98
2013-07-12,232.98
2013-07-15,232.98
2013-07-16,232.98
2013-07-17,232.98
2013-07-18,232.98
2013-07-19,232.98
2013-07-22,232.98
2013-07-23,232.98
2013-07-24,232.98
2013-07-25,232.98
2013-07-26,232.98
2013-07-29,232.98
2013-07-30,232.98
2013-07-31,232.98
2013-08-01,233.413
2013-08-02,233.413
2013-08-05,233.413
2013-08-06,233.413
2013-08-07,233.413
2013-08-08,233.413
2013-08-09,233.413
2013-08-12,233.413
2013-08-13,233.413
2013-08-14,233.413
2013-08-15,233.413
2013-08-16,233.413
2013-08-19,233.413
2013-08-20,233.413
