Date,Quote
7/24/2012,-0.912341719
7/25/2012,-0.031396004
7/26/2012,1.627182297
7/27/2012,1.872331403
7/30/2012,-0.048359343
7/31/2012,-0.43355445
8/1/2012,-0.290841416
8/2/2012,-0.75604
8/3/2012,1.868452698
8/6/2012,0.232385621
8/7/2012,0.508081216
8/8/2012,0.062044117
8/9/2012,0.041351439
8/10/2012,0.218366279
8/13/2012,-0.125347018
8/14/2012,-0.012816237
8/15/2012,0.113834281
8/16/2012,0.70504489
8/17/2012,0.186863537
8/20/2012,-0.002117507
8/21/2012,-0.350981187
8/22/2012,0.02263518
8/23/2012,-0.81379339
8/24/2012,0.641333468
8/27/2012,-0.048925444
8/28/2012,-0.080883556
8/29/2012,0.084363661
8/30/2012,-0.786721508
8/31/2012,0.504768746
9/4/2012,-0.116732036
9/5/2012,-0.106880242
9/6/2012,2.002629256
9/7/2012,0.403363805
9/10/2012,-0.618585962
9/11/2012,0.312515892
9/12/2012,0.208832202
9/13/2012,1.604800797
9/14/2012,0.394334031
9/17/2012,-0.313448572
9/18/2012,-0.128141536
9/19/2012,0.11841504
9/20/2012,-0.054102625
9/21/2012,-0.007532514
9/24/2012,-0.223764935
9/25/2012,-1.061331541
9/26/2012,-0.576983529
9/27/2012,0.955676866
9/28/2012,-0.44978932
10/1/2012,0.264449462
10/2/2012,0.087152689
10/3/2012,0.361132057
10/4/2012,0.712332957
10/5/2012,-0.032169233
10/8/2012,-0.346872612
10/9/2012,-0.998975026
10/10/2012,-0.622655989
10/11/2012,0.01953512
10/12/2012,-0.29749614
10/15/2012,0.801319253
10/16/2012,1.016553388
10/17/2012,0.410017719
10/18/2012,-0.244971529
10/19/2012,-1.68505404
10/22/2012,0.04393892
10/23/2012,-1.465559031
10/24/2012,-0.309493168
10/25/2012,0.298659638
10/26/2012,-0.072951403
10/31/2012,0.015585557
11/1/2012,1.080837801
11/2/2012,-0.946826154
11/5/2012,0.215913733
11/6/2012,0.7791993
11/7/2012,-2.428057144
11/8/2012,-1.235564089
11/9/2012,0.169581189
11/12/2012,0.013047035
11/13/2012,-0.400136766
11/14/2012,-1.404660982
11/15/2012,-0.159608822
11/16/2012,0.481663748
11/19/2012,1.947523575
11/20/2012,0.066294663
11/21/2012,0.231480984
11/23/2012,1.285881183
11/26/2012,-0.203370921
11/27/2012,-0.525404829
11/28/2012,0.779479306
11/29/2012,0.425148996
11/30/2012,0.016248146
12/3/2012,-0.476784952
12/4/2012,-0.171274078
12/5/2012,0.158235408
12/6/2012,0.329569302
12/7/2012,0.291241276
12/10/2012,0.033844629
12/11/2012,0.650627327
12/12/2012,0.044803848
12/13/2012,-0.636163959
12/14/2012,-0.415257374
12/17/2012,1.173133279
12/18/2012,1.135621172
12/19/2012,-0.764723713
12/20/2012,0.545815398
12/21/2012,-0.946748018
12/24/2012,-0.244626605
12/26/2012,-0.481049014
12/27/2012,-0.121992809
12/28/2012,-1.117340716
12/31/2012,1.66596933
1/2/2013,2.477407442
1/3/2013,-0.20899765
1/4/2013,0.484154203
1/7/2013,-0.313290053
1/8/2013,-0.3252919
1/9/2013,0.26488316
1/10/2013,0.754012923
1/11/2013,-0.004751605
1/14/2013,-0.093153844
1/15/2013,0.112739723
1/16/2013,0.019695307
1/17/2013,0.561125794
1/18/2013,0.339172739
1/22/2013,0.440858575
1/23/2013,0.150520796
1/24/2013,0.000661417
1/25/2013,0.541598926
1/28/2013,-0.18530489
1/29/2013,0.508005635
1/30/2013,-0.391488798
1/31/2013,-0.256988875
2/1/2013,0.995265473
2/4/2013,-1.167344168
2/5/2013,1.030912505
2/6/2013,0.054886914
2/7/2013,-0.180866441
2/8/2013,0.562610838
2/11/2013,-0.060648512
2/12/2013,0.159273143
2/13/2013,0.05919123
2/14/2013,0.069019508
2/15/2013,-0.104617477
2/19/2013,0.728304338
2/20/2013,-1.255993294
2/21/2013,-0.634303771
2/22/2013,0.869618119
2/25/2013,-1.8651074
2/26/2013,0.607236453
2/27/2013,1.256607836
2/28/2013,-0.086482686
3/1/2013,0.231846734
3/4/2013,0.458956217
3/5/2013,0.947537497
3/6/2013,0.10833379
3/7/2013,0.18131979
3/8/2013,0.446114813
3/11/2013,0.323856337
3/12/2013,-0.240904298
3/13/2013,0.13123279
3/14/2013,0.557177134
3/15/2013,-0.16210861
3/18/2013,-0.554086408
3/19/2013,-0.242841371
3/20/2013,0.665293432
3/21/2013,-0.835160538
3/22/2013,0.712315314
3/25/2013,-0.335123265
3/26/2013,0.77249716
3/27/2013,-0.05886963
3/28/2013,0.404027889
4/1/2013,-0.449368302
4/2/2013,0.514564942
4/3/2013,-1.065853525
4/4/2013,0.403212803
4/5/2013,-0.43134212
4/8/2013,0.626326226
4/9/2013,0.353181419
4/10/2013,1.204234677
4/11/2013,0.353967692
4/12/2013,-0.284483687
4/15/2013,-2.350613991
4/16/2013,1.410541403
4/17/2013,-1.453594748
4/18/2013,-0.67462102
4/19/2013,0.877030381
4/22/2013,0.464
4/23/2013,1.031177789
4/24/2013,0.00063403
4/25/2013,0.401851855
4/26/2013,-0.18455127
4/29/2013,0.713474132
4/30/2013,0.24787403
5/1/2013,-0.939533421
5/2/2013,0.932029827
5/3/2013,1.042484455
5/6/2013,0.19041459
5/7/2013,0.520305617
5/8/2013,0.412201964
5/9/2013,-0.370074867
5/10/2013,0.430305883
5/13/2013,0.004288792
5/14/2013,1.004032281
5/15/2013,0.508811467
5/16/2013,-0.503496467
5/17/2013,1.019508615
5/20/2013,-0.070811922
5/21/2013,0.171942471
5/22/2013,-0.834268173
5/23/2013,-0.293240633
5/24/2013,-0.05516695
5/28/2013,0.630102685
5/29/2013,-0.709800899
5/30/2013,0.365692233
5/31/2013,-1.451490988
6/3/2013,0.590096057
6/4/2013,-0.554134473
6/5/2013,-1.397226718
6/6/2013,0.841881626
6/7/2013,1.266897853
6/10/2013,-0.03469336
6/11/2013,-1.025751567
6/12/2013,-0.844019599
6/13/2013,1.456890001
6/14/2013,-0.591985463
6/17/2013,0.751052977
